LanguageCode	LanguageName	SpecificDialect	Phoneme	Allophones	Source	Trump	GlyphID	InventoryID	tone	stress	syllabic	short	long	consonantal	sonorant	continuant	delayedRelease	approximant	tap	trill	nasal	lateral	labial	round	labiodental	coronal	anterior	distributed	strident	dorsal	high	low	front	back	tense	retractedTongueRoot	advancedTongueRoot	periodicGlottalSource	epilaryngealSource	spreadGlottis	constrictedGlottis	fortis	raisedLarynxEjective	loweredLarynxImplosive	click
kor	Korean	NA	a	a	spa	FALSE	0061	1	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	-	0	-	-	0
kor	Korean	NA	aː	aː	spa	FALSE	0061+02D0	1	0	-	+	-	+	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	-	0	-	-	0
kor	Korean	NA	e	e	spa	FALSE	0065	1	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	+	-	+	-	-	+	-	-	-	0	-	-	0
kor	Korean	NA	eː	eː	spa	FALSE	0065+02D0	1	0	-	+	-	+	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	+	-	+	-	-	+	-	-	-	0	-	-	0
kor	Korean	NA	i	i	spa	FALSE	0069	1	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	-	+	-	-	+	-	-	-	0	-	-	0
kor	Korean	NA	iː	iː	spa	FALSE	0069+02D0	1	0	-	+	-	+	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	-	+	-	-	+	-	-	-	0	-	-	0
kor	Korean	NA	o	o	spa	FALSE	006F	1	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	-	+	+	-	-	+	-	-	-	0	-	-	0
kor	Korean	NA	oː	oː	spa	FALSE	006F+02D0	1	0	-	+	-	+	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	-	+	+	-	-	+	-	-	-	0	-	-	0
kor	Korean	NA	u	u	spa	FALSE	0075	1	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	+	-	-	+	+	-	-	+	-	-	-	0	-	-	0
kor	Korean	NA	uː	uː	spa	FALSE	0075+02D0	1	0	-	+	-	+	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	+	-	-	+	+	-	-	+	-	-	-	0	-	-	0
kor	Korean	NA	y	y	spa	FALSE	0079	1	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	+	-	+	-	+	-	-	+	-	-	-	0	-	-	0
kor	Korean	NA	æ	ɛ æ	spa	FALSE	00E6	1	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	+	-	0	-	-	+	-	-	-	0	-	-	0
kor	Korean	NA	æː	æː	spa	FALSE	00E6+02D0	1	0	-	+	-	+	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	+	-	0	-	-	+	-	-	-	0	-	-	0
kor	Korean	NA	ø	ø	spa	FALSE	00F8	1	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	+	-	+	-	-	+	-	-	-	0	-	-	0
kor	Korean	NA	ɤ	ɤ	spa	FALSE	0264	1	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	-	+	+	-	-	+	-	-	-	0	-	-	0
kor	Korean	NA	ɤː	ɤː	spa	FALSE	0264+02D0	1	0	-	+	-	+	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	-	+	+	-	-	+	-	-	-	0	-	-	0
kor	Korean	NA	ɯ	ɯ̥ ɯ	spa	FALSE	026F	1	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	-	+	+	-	-	+	-	-	-	0	-	-	0
kor	Korean	NA	ɯː	ɯː	spa	FALSE	026F+02D0	1	0	-	+	-	+	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	-	+	+	-	-	+	-	-	-	0	-	-	0
unr	Mundari	NA	a	a̟ a ã ə ʌ	spa	TRUE	0061	10	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	-	0	-	-	0
unr	Mundari	NA	e̞	e̞ ẽ̞	spa	TRUE	0065+031E	10	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	+	-	+	-	-	+	-	-	-	0	-	-	0
unr	Mundari	NA	o̞	õ̞ o̞	spa	TRUE	006F+031E	10	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	-	+	+	-	-	+	-	-	-	0	-	-	0
unr	Mundari	NA	ɪ	ɪ̃ ɪ	spa	TRUE	026A	10	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	-	-	-	-	+	-	-	-	0	-	-	0
unr	Mundari	NA	ʊ	ʊ̃ ʊ	spa	TRUE	028A	10	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	+	-	-	+	-	-	-	+	-	-	-	0	-	-	0
mig	Mixtec	NA	a	a	spa	TRUE	0061	100	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	-	0	-	-	0
mig	Mixtec	NA	ã	ã	spa	TRUE	0061+0303	100	0	-	+	-	-	-	+	+	0	+	-	-	+	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	-	0	-	-	0
mig	Mixtec	NA	e	ɛ e	spa	TRUE	0065	100	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	+	-	+	-	-	+	-	-	-	0	-	-	0
mig	Mixtec	NA	ẽ	ẽ	spa	TRUE	0065+0303	100	0	-	+	-	-	-	+	+	0	+	-	-	+	-	-	0	0	-	0	0	0	+	-	-	+	-	+	-	-	+	-	-	-	0	-	-	0
mig	Mixtec	NA	i	i ĭ i̥	spa	TRUE	0069	100	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	-	+	-	-	+	-	-	-	0	-	-	0
mig	Mixtec	NA	ĩ	ĩ̆ ĩ	spa	TRUE	0069+0303	100	0	-	+	-	-	-	+	+	0	+	-	-	+	-	-	0	0	-	0	0	0	+	+	-	+	-	+	-	-	+	-	-	-	0	-	-	0
mig	Mixtec	NA	o	o ɔ	spa	TRUE	006F	100	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	-	-	-	+	+	-	-	+	-	-	-	0	-	-	0
mig	Mixtec	NA	õ	õ ɔ̃	spa	TRUE	006F+0303	100	0	-	+	-	-	-	+	+	0	+	-	-	+	-	+	+	-	-	0	0	0	+	-	-	-	+	+	-	-	+	-	-	-	0	-	-	0
mig	Mixtec	NA	u	u	spa	TRUE	0075	100	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	+	-	-	+	+	-	-	+	-	-	-	0	-	-	0
mig	Mixtec	NA	ũ	m̩ ũ	spa	TRUE	0075+0303	100	0	-	+	-	-	-	+	+	0	+	-	-	+	-	+	+	-	-	0	0	0	+	+	-	-	+	+	-	-	+	-	-	-	0	-	-	0
cbi	Cayapa	NA	i	i ĩ	spa	TRUE	0069	101	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	-	+	-	-	+	-	-	-	0	-	-	0
cbi	Cayapa	NA	ɑ	ɑ ɑ̃	spa	TRUE	0251	101	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	+	0	-	-	+	-	-	-	0	-	-	0
cbi	Cayapa	NA	ɛ	ɛ ɛ̃ e æ	spa	TRUE	025B	101	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	-	+	-	-	-	-	+	-	-	-	0	-	-	0
cbi	Cayapa	NA	ʊ	o u ʊ̃ ʊ	spa	TRUE	028A	101	0	-	+	-	-	-	+	+	0	+	-	-	-	-	+	+	-	-	0	0	0	+	+	-	-	+	-	-	-	+	-	-	-	0	-	-	0
pbb	Paez	NA	a	a ə	spa	TRUE	0061	102	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	-	0	-	-	0
pbb	Paez	NA	ã	ã ə̃	spa	TRUE	0061+0303	102	0	-	+	-	-	-	+	+	0	+	-	-	+	-	-	0	0	-	0	0	0	+	-	+	-	-	0	-	-	+	-	-	-	0	-	-	0
pbb	Paez	NA	i	ɪ i	spa	TRUE	0069	102	0	-	+	-	-	-	+	+	0	+	-	-	-	-	-	0	0	-	0	0	0	+	+	-	+	-	+	-	-	+	-	-	-	0	-	-	0
